date,xsales,antallordre,produkt,sales,invoiced,refunded,sales tax,sales shipping,sales discount,canceled
2024-05-01, 8 386.00,10,14, 8 386.00, 1 226.00, 0.00, 1 499.20, 890.00, 0.00,0.0
2024-05-02, 66 431.65,35,61, 66 431.65, 14 708.70, 619.20, 12 865.31, 2 114.00, 1 671.35,0.0
2024-05-03, 23 065.00,14,18, 23 065.00, 3 985.00, 0.00, 4 386.40, 1 133.00, 0.00,0.0
2024-05-04, 17 679.35,10,19, 17 679.35, 10 220.15, 3 487.00, 3 466.45, 356.00, 518.65,0.0
2024-05-05, 33 083.35,22,44, 33 083.35, 13 969.45, 3 034.00, 6 385.27, 1 157.00, 819.65,0.0
2024-05-06, 53 322.90,33,74, 53 322.90, 24 502.00, 2 066.00, 10 345.96, 1 602.00, 495.10,0.0
2024-05-07, 31 695.20,17,40, 31 695.20, 12 322.00, 0.00, 6 132.02, 1 044.00, 98.80,0.0
2024-05-08, 26 836.60,19,31, 26 836.60, 6 871.00, 388.00, 5 137.70, 1 157.00, 410.40,0.0
2024-05-09, 22 815.80,17,21, 22 815.80, 774.80, 0.00, 4 331.76, 1 157.00, 70.20,0.0
2024-05-10, 24 586.30,17,33, 24 586.30, 10 968.45, 2 088.45, 4 519.24, 1 999.00, 549.70,0.0
2024-05-11, 15 443.90,10,18, 15 443.90, 2 519.10, 0.00, 2 981.98, 534.00, 422.10,0.0
2024-05-12, 13 222.15,11,15, 13 222.15, 0.00, 0.00, 2 502.03, 712.00, 194.85,0.0
2024-05-13, 28 910.15,17,25, 28 910.15, 9 362.00, 1 287.00, 5 604.03, 890.00, 194.85,0.0
2024-05-14, 14 263.50,8,24, 14 263.50, 6 109.00, 1 638.00, 2 781.50, 356.00, 568.50,0.0
2024-05-15, 15 017.00,9,19, 15 017.00, 7 079.00, 0.00, 2 830.20, 866.00, 0.00,0.0
2024-05-16, 11 127.00,7,19, 11 127.00, 1 238.00, 0.00, 2 154.20, 356.00, 0.00,0.0
2024-05-17, 10 555.00,6,12, 10 555.00, 2 598.00, 0.00, 2 057.60, 267.00, 0.00,0.0
2024-05-18, 4 639.00,5,6, 4 639.00, 1 976.00, 0.00, 838.80, 445.00, 0.00,0.0
2024-05-19, 5 569.10,5,7, 5 569.10, 1 067.00, 0.00, 1 042.62, 356.00, 279.90,0.0
2024-05-20, 23 436.00,16,22, 23 436.00, 11 538.00, 3 987.00, 4 473.60, 1 068.00, 0.00,0.0
